label,trials,offset,trial_spacing,keys,direction,response_time,accuracy,response_numeric
Block 1: Monocular_Standard,0,-0.15,0,left,left,1.9366301000118256,correct,True
Block 1: Monocular_Standard,1,0.15,0,right,right,0.8260472999536432,correct,True
Block 1: Monocular_Standard,2,0.13999999999999999,0,right,right,0.9283685000264086,correct,True
Block 1: Monocular_Standard,3,0.13999999999999999,0,right,right,1.0025610000011511,correct,True
Block 1: Monocular_Standard,4,0.12999999999999998,0,right,right,0.907544199959375,correct,True
Block 1: Monocular_Standard,5,-0.12999999999999998,0,left,left,0.9499643000308424,correct,True
Block 1: Monocular_Standard,6,0.11999999999999998,0,left,right,3.64824419998331,false,False
Block 1: Monocular_Standard,7,-0.12999999999999998,0,left,left,0.8880508000147529,correct,True
Block 1: Monocular_Standard,8,-0.12999999999999998,0,right,left,1.1505460000480525,false,False
Block 1: Monocular_Standard,9,-0.13999999999999999,0,left,left,2.069902600022033,correct,True
Block 1: Monocular_Standard,10,-0.13999999999999999,0,right,left,1.1241490000393242,false,False
Block 1: Monocular_Standard,11,0.15,0,left,right,0.6796283000148833,false,False
Block 1: Monocular_Standard,12,0.16,0,right,right,0.6069114000420086,correct,True
Block 1: Monocular_Standard,13,0.16,0,right,right,0.8128024999750778,correct,True
Block 1: Monocular_Standard,14,-0.15,0,left,left,0.9584829999948852,correct,True
Block 1: Monocular_Standard,15,0.15,0,right,right,0.9884514000150375,correct,True
Block 1: Monocular_Standard,16,0.13999999999999999,0,left,right,1.5779753000242636,false,False
Block 1: Monocular_Standard,17,0.15,0,right,right,0.5497770999791101,correct,True
Block 1: Monocular_Standard,18,-0.15,0,left,left,0.691410299972631,correct,True
Block 1: Monocular_Standard,19,0.13999999999999999,0,right,right,0.7392258000327274,correct,True
Block 1: Monocular_Standard,20,-0.13999999999999999,0,left,left,2.019637099991087,correct,True
Block 1: Monocular_Standard,21,0.12999999999999998,0,right,right,1.1113290000357665,correct,True
Block 1: Monocular_Standard,22,-0.12999999999999998,0,left,left,1.1715704000089318,correct,True
Block 1: Monocular_Standard,23,0.11999999999999998,0,right,right,1.0190930000389926,correct,True
Block 1: Monocular_Standard,24,-0.11999999999999998,0,left,left,1.3327676999615505,correct,True
Block 1: Monocular_Standard,25,0.10999999999999999,0,right,right,1.333453900006134,correct,True
Block 1: Monocular_Standard,26,-0.10999999999999999,0,left,left,1.1649598000221886,correct,True
Block 1: Monocular_Standard,27,0.09999999999999999,0,right,right,1.2308782000327483,correct,True
Block 1: Monocular_Standard,28,-0.09999999999999999,0,left,left,1.064415899978485,correct,True
Block 1: Monocular_Standard,29,0.09,0,right,right,1.0804716999991797,correct,True
Block 1: Monocular_Standard,30,0.09,0,right,right,2.6808276000083424,correct,True
Block 1: Monocular_Standard,31,-0.08,0,left,left,1.2931032999767922,correct,True
Block 1: Monocular_Standard,32,0.08,0,right,right,1.3503257000120357,correct,True
Block 1: Monocular_Standard,33,0.07,0,right,right,2.3021013000397943,correct,True
Block 1: Monocular_Standard,34,0.07,0,left,right,1.4319927000324242,false,False
Block 1: Monocular_Standard,35,0.08,0,right,right,0.876305699988734,correct,True
Block 1: Monocular_Standard,36,0.08,0,left,right,1.1557597999926656,false,False
Block 1: Monocular_Standard,37,-0.09,0,right,left,0.8339568999945186,false,False
Block 1: Monocular_Standard,38,-0.09999999999999999,0,left,left,0.6848182000103407,correct,True
Block 1: Monocular_Standard,39,-0.09999999999999999,0,left,left,0.8785646999604069,correct,True
Block 1: Monocular_Standard,40,-0.09,0,left,left,1.2053527000243776,correct,True
Block 1: Monocular_Standard,41,0.09,0,right,right,1.6735449000261724,correct,True
Block 1: Monocular_Standard,42,0.08,0,right,right,1.49115380004514,correct,True
Block 1: Monocular_Standard,43,0.08,0,right,right,1.1950991000048816,correct,True
Block 1: Monocular_Standard,44,-0.07,0,left,left,1.5776229999610223,correct,True
Block 1: Monocular_Standard,45,-0.07,0,left,left,1.2045589999761432,correct,True
Block 1: Monocular_Standard,46,0.060000000000000005,0,right,right,1.1358715000096709,correct,True
Block 1: Monocular_Standard,47,-0.060000000000000005,0,left,left,1.017547499970533,correct,True
Block 1: Monocular_Standard,48,-0.05,0,left,left,1.1114667999790981,correct,True
Block 1: Monocular_Standard,49,-0.05,0,right,left,1.093830700032413,false,False
Block 1: Monocular_Standard,50,0.060000000000000005,0,right,right,0.7621078999945894,correct,True
Block 1: Monocular_Standard,51,0.060000000000000005,0,left,right,1.1720801000483334,false,False
Block 1: Monocular_Standard,52,0.07,0,right,right,0.6288313000113703,correct,True
Block 1: Monocular_Standard,53,0.07,0,left,right,1.0925728000001982,false,False
Block 1: Monocular_Standard,54,-0.08,0,right,left,0.7689536000252701,false,False
Block 1: Monocular_Standard,55,0.09,0,left,right,0.7115309999790043,false,False
Block 1: Monocular_Standard,56,-0.09999999999999999,0,right,left,0.7414098000153899,false,False
Block 1: Monocular_Standard,57,-0.10999999999999999,0,left,left,0.4531250999425538,correct,True
Block 1: Monocular_Standard,58,0.10999999999999999,0,right,right,1.031450800015591,correct,True
Block 1: Monocular_Standard,59,-0.09999999999999999,0,left,left,1.2146154000074603,correct,True
Block 1: Monocular_Standard,60,-0.09999999999999999,0,left,left,1.0857389000011608,correct,True
Block 1: Monocular_Standard,61,-0.09,0,left,left,2.031211399997119,correct,True
Block 1: Monocular_Standard,62,-0.09,0,left,left,2.2912262000027113,correct,True
Block 1: Monocular_Standard,63,0.08,0,left,right,1.1553751000319608,false,False
Block 1: Monocular_Standard,64,0.09,0,right,right,0.5872501999838278,correct,True
Block 1: Monocular_Standard,65,0.09,0,right,right,1.1342506000073627,correct,True
Block 1: Monocular_Standard,66,-0.08,0,right,left,1.8133021999965422,false,False
Block 1: Monocular_Standard,67,0.09,0,right,right,0.660891100007575,correct,True
Block 1: Monocular_Standard,68,-0.09,0,left,left,0.9460113999666646,correct,True
Block 1: Monocular_Standard,69,-0.08,0,left,left,0.9432008999865502,correct,True
Block 1: Monocular_Standard,70,0.08,0,right,right,0.9590420000022277,correct,True
Block 1: Monocular_Standard,71,-0.07,0,left,left,1.052989299991168,correct,True
Block 1: Monocular_Standard,72,-0.07,0,right,left,1.8034724000026472,false,False
Block 1: Monocular_Standard,73,-0.08,0,left,left,1.1480042000184767,correct,True
Block 1: Monocular_Standard,74,-0.08,0,left,left,1.1138319000019692,correct,True
Block 1: Monocular_Standard,75,0.07,0,right,right,0.8743947999901138,correct,True
Block 1: Monocular_Standard,76,-0.07,0,left,left,0.9407313000410795,correct,True
Block 1: Monocular_Standard,77,0.060000000000000005,0,right,right,1.0528066000551917,correct,True
Block 1: Monocular_Standard,78,-0.060000000000000005,0,left,left,0.8767503999988548,correct,True
Block 1: Monocular_Standard,79,0.05,0,right,right,0.9682969999848865,correct,True
Block 1: Monocular_Standard,80,-0.05,0,right,left,0.997902899980545,false,False
Block 1: Monocular_Standard,81,-0.060000000000000005,0,right,left,0.921402300009504,false,False
Block 1: Monocular_Standard,82,-0.07,0,left,left,0.5659458000445738,correct,True
Block 1: Monocular_Standard,83,0.07,0,left,right,0.8728192000417039,false,False
Block 1: Monocular_Standard,84,-0.08,0,right,left,0.4860299000283703,false,False
Block 1: Monocular_Standard,85,-0.09,0,left,left,0.5365097000030801,correct,True
Block 1: Monocular_Standard,86,-0.09,0,left,left,1.1010360000072978,correct,True
Block 1: Monocular_Standard,87,0.08,0,right,right,0.8149153999984264,correct,True
Block 1: Monocular_Standard,88,-0.08,0,right,left,0.9687917999690399,false,False
Block 1: Monocular_Standard,89,-0.09,0,right,left,0.8869924999889918,false,False
Block 1: Monocular_Standard,90,-0.09999999999999999,0,right,left,0.8962682000128552,false,False
Block 1: Monocular_Standard,91,-0.10999999999999999,0,left,left,1.3018922000192106,correct,True
Block 1: Monocular_Standard,92,-0.10999999999999999,0,left,left,1.5773880000342615,correct,True
Block 1: Monocular_Standard,93,0.09999999999999999,0,right,right,1.269956300035119,correct,True
Block 1: Monocular_Standard,94,-0.09999999999999999,0,right,left,1.0418496999773197,false,False
Block 1: Monocular_Standard,95,0.10999999999999999,0,right,right,0.7095176000148058,correct,True
Block 1: Monocular_Standard,96,-0.10999999999999999,0,left,left,0.7926953000132926,correct,True
Block 1: Monocular_Standard,97,-0.09999999999999999,0,left,left,1.0312995999702252,correct,True
Block 1: Monocular_Standard,98,0.09999999999999999,0,right,right,0.7745070999953896,correct,True
Block 1: Monocular_Standard,99,-0.09,0,left,left,0.982831500004977,correct,True
Block 1: Monocular_Standard,100,-0.09,0,left,left,2.174553000018932,correct,True
Block 1: Monocular_Standard,101,0.08,0,right,right,1.1106858999701217,correct,True
Block 1: Monocular_Standard,102,-0.08,0,right,left,1.250306899950374,false,False
Block 1: Monocular_Standard,103,-0.09,0,left,left,0.5596105000004172,correct,True
Block 1: Monocular_Standard,104,0.09,0,right,right,0.8553801999660209,correct,True
Block 1: Monocular_Standard,105,0.08,0,right,right,0.9991144999512471,correct,True
Block 1: Monocular_Standard,106,-0.08,0,left,left,1.7529913000180386,correct,True
Block 1: Monocular_Standard,107,0.07,0,right,right,0.8388829000177793,correct,True
Block 1: Monocular_Standard,108,-0.07,0,left,left,1.5959831000072882,correct,True
Block 1: Monocular_Standard,109,0.060000000000000005,0,left,right,1.9333297000266612,false,False
Block 1: Monocular_Standard,110,-0.07,0,left,left,0.9239704000065103,correct,True
Block 1: Monocular_Standard,111,0.07,0,left,right,1.0186372000025585,false,False
Block 1: Monocular_Standard,112,0.08,0,right,right,0.5471749000134878,correct,True
Block 1: Monocular_Standard,113,-0.08,0,left,left,1.257806800014805,correct,True
Block 1: Monocular_Standard,114,-0.07,0,left,left,1.3319538999930955,correct,True
Block 1: Monocular_Standard,115,0.07,0,right,right,0.915801300026942,correct,True
Block 1: Monocular_Standard,116,-0.060000000000000005,0,left,left,1.1680064999964088,correct,True
Block 1: Monocular_Standard,117,0.060000000000000005,0,right,right,0.931723499961663,correct,True
Block 1: Monocular_Standard,118,0.05,0,right,right,1.339620399987325,correct,True
Block 1: Monocular_Standard,119,0.05,0,left,right,1.6175698000006378,false,False
Block 1: Monocular_Standard,120,-0.060000000000000005,0,right,left,0.4434980000369251,false,False
Block 1: Monocular_Standard,121,0.07,0,left,right,0.370839600043837,false,False
Block 1: Monocular_Standard,122,-0.08,0,right,left,0.2689004000276327,false,False
Block 1: Monocular_Standard,123,-0.09,0,left,left,0.10401609999826178,correct,True
Block 1: Monocular_Standard,124,0.09,0,right,right,0.3198001999990083,correct,True
Block 1: Monocular_Standard,125,-0.08,0,left,left,0.09346880001248792,correct,True
Block 1: Monocular_Standard,126,0.08,0,right,right,0.7947486999910325,correct,True
Block 1: Monocular_Standard,127,0.07,0,right,right,1.258871000027284,correct,True
Block 1: Monocular_Standard,128,-0.07,0,right,left,1.226775200047996,false,False
Block 1: Monocular_Standard,129,-0.08,0,left,left,0.5605399000342004,correct,True
Block 1: Monocular_Standard,130,0.08,0,right,right,0.9177413000143133,correct,True
Block 1: Monocular_Standard,131,-0.07,0,left,left,0.7105563000077382,correct,True
Block 1: Monocular_Standard,132,0.07,0,right,right,0.4725083000375889,correct,True
Block 1: Monocular_Standard,133,-0.060000000000000005,0,left,left,0.5044579000095837,correct,True
Block 1: Monocular_Standard,134,0.060000000000000005,0,right,right,0.4244884999934584,correct,True
Block 1: Monocular_Standard,135,-0.05,0,left,left,2.020518200006336,correct,True
Block 1: Monocular_Standard,136,0.05,0,left,right,1.260809600003995,false,False
Block 1: Monocular_Standard,137,0.060000000000000005,0,right,right,0.5052485999767669,correct,True
Block 1: Monocular_Standard,138,-0.060000000000000005,0,right,left,0.598356100032106,false,False
Block 1: Monocular_Standard,139,0.07,0,left,right,0.24800969997886568,false,False
Block 1: Monocular_Standard,140,-0.08,0,right,left,0.29934540000976995,false,False
Block 1: Monocular_Standard,141,-0.09,0,left,left,0.19632250000722706,correct,True
Block 1: Monocular_Standard,142,-0.09,0,right,left,1.5593090999755077,false,False
Block 1: Monocular_Standard,143,0.09999999999999999,0,right,right,0.6616892999736592,correct,True
Block 1: Monocular_Standard,144,0.09999999999999999,0,right,right,0.6089213999803178,correct,True
Block 1: Monocular_Standard,145,0.09,0,left,right,1.1636621999787167,false,False
Block 1: Monocular_Standard,146,-0.09999999999999999,0,right,left,0.4032672999892384,false,False
Block 1: Monocular_Standard,147,-0.10999999999999999,0,right,left,0.7108262999681756,false,False
Block 1: Monocular_Standard,148,0.11999999999999998,0,right,right,74.4797350000008,correct,True
Block 1: Monocular_Standard,149,0.11999999999999998,0,right,right,1.6386564999702387,correct,True
Block 1: Monocular_Standard,150,-0.10999999999999999,0,left,left,2.1495038000284694,correct,True
Block 1: Monocular_Standard,151,-0.10999999999999999,0,left,left,2.334341300011147,correct,True
Block 1: Monocular_Standard,152,0.09999999999999999,0,right,right,1.0673113000229932,correct,True
Block 1: Monocular_Standard,153,-0.09999999999999999,0,left,left,1.103005699987989,correct,True
Block 1: Monocular_Standard,154,0.09,0,right,right,0.9501060000038706,correct,True
Block 1: Monocular_Standard,155,-0.09,0,left,left,1.1257917999755591,correct,True
Block 1: Monocular_Standard,156,0.08,0,left,right,1.8508195000467822,false,False
Block 1: Monocular_Standard,157,0.09,0,right,right,0.5480170999653637,correct,True
Block 1: Monocular_Standard,158,-0.09,0,left,left,1.5348941000411287,correct,True
Block 1: Monocular_Standard,159,0.08,0,right,right,0.9007347000297159,correct,True
Block 1: Monocular_Standard,160,-0.08,0,right,left,1.2088452000170946,false,False
Block 1: Monocular_Standard,161,0.09,0,right,right,0.5366293999832124,correct,True
Block 1: Monocular_Standard,162,0.09,0,right,right,0.7047588000423275,correct,True
Block 1: Monocular_Standard,163,-0.08,0,left,left,1.4112420000019483,correct,True
Block 1: Monocular_Standard,164,0.08,0,left,right,1.005352700012736,false,False
Block 1: Monocular_Standard,165,0.09,0,right,right,0.4740336000104435,correct,True
Block 1: Monocular_Standard,166,0.09,0,right,right,0.7041322999866679,correct,True
Block 1: Monocular_Standard,167,0.08,0,right,right,0.7006961000151932,correct,True
Block 1: Monocular_Standard,168,0.08,0,right,right,0.6806188999908045,correct,True
Block 1: Monocular_Standard,169,0.07,0,right,right,0.6687505000154488,correct,True
