label,trials,offset,trial_spacing,keys,direction,response_time,accuracy,response_numeric
Block 1: Monocular_Standard,0,-0.15,0,left,left,1.0710949000203982,correct,True
Block 1: Monocular_Standard,1,0.15,0,right,right,0.9801845999900252,correct,True
Block 1: Monocular_Standard,2,0.13999999999999999,0,right,right,1.712148199963849,correct,True
Block 1: Monocular_Standard,3,0.13999999999999999,0,right,right,1.5387923999805935,correct,True
Block 1: Monocular_Standard,4,-0.12999999999999998,0,left,left,1.0435448000207543,correct,True
Block 1: Monocular_Standard,5,-0.12999999999999998,0,left,left,1.0753402999835089,correct,True
Block 1: Monocular_Standard,6,0.11999999999999998,0,right,right,1.1164418999687769,correct,True
Block 1: Monocular_Standard,7,-0.11999999999999998,0,left,left,1.1154687000089325,correct,True
Block 1: Monocular_Standard,8,-0.10999999999999999,0,left,left,1.566477800020948,correct,True
Block 1: Monocular_Standard,9,0.10999999999999999,0,right,right,1.1540709999972023,correct,True
Block 1: Monocular_Standard,10,-0.09999999999999999,0,left,left,4.109692600031849,correct,True
Block 1: Monocular_Standard,11,0.09999999999999999,0,left,right,2.4973683999851346,false,False
Block 1: Monocular_Standard,12,0.10999999999999999,0,right,right,0.6423288999940269,correct,True
Block 1: Monocular_Standard,13,-0.10999999999999999,0,left,left,0.9810580000048503,correct,True
Block 1: Monocular_Standard,14,-0.09999999999999999,0,left,left,1.5109142999863252,correct,True
Block 1: Monocular_Standard,15,-0.09999999999999999,0,left,left,1.2871754000079818,correct,True
Block 1: Monocular_Standard,16,-0.09,0,left,left,1.1852387999533676,correct,True
Block 1: Monocular_Standard,17,-0.09,0,right,left,2.007956200046465,false,False
Block 1: Monocular_Standard,18,0.09999999999999999,0,right,right,0.5885475000250153,correct,True
Block 1: Monocular_Standard,19,-0.09999999999999999,0,left,left,0.6474410999799147,correct,True
Block 1: Monocular_Standard,20,0.09,0,right,right,2.5401505999616347,correct,True
Block 1: Monocular_Standard,21,0.09,0,right,right,0.8060562000027858,correct,True
Block 1: Monocular_Standard,22,0.08,0,left,right,1.269234100007452,false,False
Block 1: Monocular_Standard,23,-0.09,0,left,left,0.48568169999634847,correct,True
Block 1: Monocular_Standard,24,-0.09,0,right,left,1.3022863999940455,false,False
Block 1: Monocular_Standard,25,-0.09999999999999999,0,left,left,0.4752307999879122,correct,True
Block 1: Monocular_Standard,26,0.09999999999999999,0,right,right,0.9736801999970339,correct,True
Block 1: Monocular_Standard,27,0.09,0,right,right,1.6010642999899574,correct,True
Block 1: Monocular_Standard,28,-0.09,0,left,left,0.6678212999831885,correct,True
Block 1: Monocular_Standard,29,-0.08,0,left,left,1.7038259000401013,correct,True
Block 1: Monocular_Standard,30,0.08,0,right,right,1.1158533999696374,correct,True
Block 1: Monocular_Standard,31,0.07,0,right,right,1.0631461999728344,correct,True
Block 1: Monocular_Standard,32,0.07,0,right,right,1.2098492999793962,correct,True
Block 1: Monocular_Standard,33,0.060000000000000005,0,right,right,1.1978202000027522,correct,True
Block 1: Monocular_Standard,34,0.060000000000000005,0,right,right,1.217413900012616,correct,True
Block 1: Monocular_Standard,35,-0.05,0,left,left,0.7538363999919966,correct,True
Block 1: Monocular_Standard,36,-0.05,0,left,left,0.9053163999924436,correct,True
Block 1: Monocular_Standard,37,-0.04,0,left,left,1.4192830999963917,correct,True
Block 1: Monocular_Standard,38,0.04,0,left,right,1.1345764999859966,false,False
Block 1: Monocular_Standard,39,0.05,0,right,right,0.5162766000139527,correct,True
Block 1: Monocular_Standard,40,-0.05,0,left,left,0.8539412000100128,correct,True
Block 1: Monocular_Standard,41,-0.04,0,left,left,1.2077986000222154,correct,True
Block 1: Monocular_Standard,42,0.04,0,left,right,1.0828626999864355,false,False
Block 1: Monocular_Standard,43,-0.05,0,left,left,0.7638735999935307,correct,True
Block 1: Monocular_Standard,44,0.05,0,right,right,0.6491030000033788,correct,True
Block 1: Monocular_Standard,45,0.04,0,left,right,1.0127615999663249,false,False
Block 1: Monocular_Standard,46,0.05,0,right,right,0.43284089997177944,correct,True
Block 1: Monocular_Standard,47,-0.05,0,left,left,0.765515300037805,correct,True
Block 1: Monocular_Standard,48,-0.04,0,left,left,0.8878084999741986,correct,True
Block 1: Monocular_Standard,49,0.04,0,right,right,0.5780982000287622,correct,True
Block 1: Monocular_Standard,50,0.03,0,right,right,0.910929900011979,correct,True
Block 1: Monocular_Standard,51,-0.03,0,left,left,0.7654899000190198,correct,True
Block 1: Monocular_Standard,52,0.019999999999999997,0,right,right,0.638989600003697,correct,True
Block 1: Monocular_Standard,53,-0.019999999999999997,0,left,left,0.9579621000448242,correct,True
Block 1: Monocular_Standard,54,-0.009999999999999997,0,left,left,0.7679992000339553,correct,True
Block 1: Monocular_Standard,55,0.009999999999999997,0,right,right,0.8477682000375353,correct,True
Block 1: Monocular_Standard,56,0,0,left,left,0.9193534000078216,correct,True
Block 1: Monocular_Standard,57,0,0,right,left,0.6891113999881782,false,False
Block 1: Monocular_Standard,58,-0.01,0,right,left,0.6078020999557339,false,False
Block 1: Monocular_Standard,59,0.02,0,left,right,0.42435530002694577,false,False
Block 1: Monocular_Standard,60,0.03,0,left,right,0.9536749999970198,false,False
Block 1: Monocular_Standard,61,-0.04,0,right,left,0.48697040003025904,false,False
Block 1: Monocular_Standard,62,-0.05,0,left,left,0.6686905000242405,correct,True
Block 1: Monocular_Standard,63,0.05,0,right,right,0.6415455999667756,correct,True
Block 1: Monocular_Standard,64,-0.04,0,left,left,1.4861587999621406,correct,True
Block 1: Monocular_Standard,65,-0.04,0,left,left,1.0857745000394061,correct,True
Block 1: Monocular_Standard,66,-0.03,0,left,left,1.4769797999761067,correct,True
Block 1: Monocular_Standard,67,0.03,0,left,right,1.1552229999797419,false,False
Block 1: Monocular_Standard,68,-0.04,0,right,left,0.6113555000047199,false,False
Block 1: Monocular_Standard,69,-0.05,0,left,left,0.5403866000124253,correct,True
Block 1: Monocular_Standard,70,-0.05,0,left,left,0.9580437999684364,correct,True
Block 1: Monocular_Standard,71,0.04,0,right,right,0.7733785000164062,correct,True
Block 1: Monocular_Standard,72,-0.04,0,right,left,1.5791142000234686,false,False
Block 1: Monocular_Standard,73,0.05,0,left,right,0.616430499998387,false,False
Block 1: Monocular_Standard,74,0.060000000000000005,0,right,right,0.5256490000174381,correct,True
Block 1: Monocular_Standard,75,0.060000000000000005,0,right,right,0.5775211000000127,correct,True
Block 1: Monocular_Standard,76,0.05,0,right,right,0.6300207000458613,correct,True
Block 1: Monocular_Standard,77,0.05,0,left,right,0.9067364999791607,false,False
Block 1: Monocular_Standard,78,-0.060000000000000005,0,right,left,0.3617414000327699,false,False
Block 1: Monocular_Standard,79,-0.07,0,left,left,0.43290889996569604,correct,True
Block 1: Monocular_Standard,80,-0.07,0,left,left,0.7018435999634676,correct,True
Block 1: Monocular_Standard,81,-0.060000000000000005,0,left,left,1.1881351000047289,correct,True
Block 1: Monocular_Standard,82,0.060000000000000005,0,right,right,1.142508499964606,correct,True
Block 1: Monocular_Standard,83,0.05,0,right,right,0.8384403000236489,correct,True
Block 1: Monocular_Standard,84,0.05,0,left,right,0.8161372999893501,false,False
Block 1: Monocular_Standard,85,-0.060000000000000005,0,left,left,0.46471490000840276,correct,True
Block 1: Monocular_Standard,86,-0.060000000000000005,0,left,left,0.6320641000056639,correct,True
Block 1: Monocular_Standard,87,-0.05,0,left,left,1.250783000024967,correct,True
Block 1: Monocular_Standard,88,-0.05,0,left,left,1.1441060999641195,correct,True
Block 1: Monocular_Standard,89,-0.04,0,right,left,0.7451411000220105,false,False
Block 1: Monocular_Standard,90,0.05,0,right,right,0.5309472000226378,correct,True
Block 1: Monocular_Standard,91,-0.05,0,left,left,0.6398685000021942,correct,True
Block 1: Monocular_Standard,92,0.04,0,left,right,0.8451629999908619,false,False
Block 1: Monocular_Standard,93,0.05,0,right,right,0.5173353000427596,correct,True
Block 1: Monocular_Standard,94,0.05,0,left,right,2.323428299976513,false,False
Block 1: Monocular_Standard,95,0.060000000000000005,0,right,right,0.6304971000063233,correct,True
Block 1: Monocular_Standard,96,0.060000000000000005,0,right,right,0.5283669999917038,correct,True
Block 1: Monocular_Standard,97,0.05,0,right,right,0.7551227000076324,correct,True
Block 1: Monocular_Standard,98,-0.05,0,right,left,0.8148466999991797,false,False
Block 1: Monocular_Standard,99,0.060000000000000005,0,right,right,0.7731678999844007,correct,True
Block 1: Monocular_Standard,100,0.060000000000000005,0,right,right,0.6597013999707997,correct,True
Block 1: Monocular_Standard,101,0.05,0,right,right,0.9503926000325009,correct,True
Block 1: Monocular_Standard,102,-0.05,0,left,left,0.4653466999880038,correct,True
Block 1: Monocular_Standard,103,0.04,0,right,right,0.699820899986662,correct,True
Block 1: Monocular_Standard,104,-0.04,0,left,left,0.8965033999993466,correct,True
Block 1: Monocular_Standard,105,-0.03,0,left,left,0.6301672999979928,correct,True
Block 1: Monocular_Standard,106,-0.03,0,right,left,1.106166600016877,false,False
Block 1: Monocular_Standard,107,0.04,0,right,right,0.4853576000314206,correct,True
Block 1: Monocular_Standard,108,0.04,0,left,right,0.6288382000057027,false,False
Block 1: Monocular_Standard,109,-0.05,0,right,left,0.44508880004286766,false,False
Block 1: Monocular_Standard,110,0.060000000000000005,0,right,right,0.5358345999848098,correct,True
Block 1: Monocular_Standard,111,-0.060000000000000005,0,left,left,0.5581877999939024,correct,True
Block 1: Monocular_Standard,112,0.05,0,right,right,0.619463800045196,correct,True
Block 1: Monocular_Standard,113,0.05,0,left,right,0.9671931000193581,false,False
Block 1: Monocular_Standard,114,-0.060000000000000005,0,right,left,0.45227789995260537,false,False
Block 1: Monocular_Standard,115,-0.07,0,left,left,0.6040158999967389,correct,True
Block 1: Monocular_Standard,116,-0.07,0,left,left,1.041172800003551,correct,True
Block 1: Monocular_Standard,117,0.060000000000000005,0,right,right,0.5465541000012308,correct,True
Block 1: Monocular_Standard,118,-0.060000000000000005,0,left,left,0.5392343000276014,correct,True
Block 1: Monocular_Standard,119,-0.05,0,right,left,0.7609731000266038,false,False
Block 1: Monocular_Standard,120,-0.060000000000000005,0,left,left,0.3905919000389986,correct,True
Block 1: Monocular_Standard,121,-0.060000000000000005,0,left,left,0.6878154000150971,correct,True
Block 1: Monocular_Standard,122,-0.05,0,right,left,0.5171348000294529,false,False
Block 1: Monocular_Standard,123,-0.060000000000000005,0,left,left,0.45347880001645535,correct,True
Block 1: Monocular_Standard,124,-0.060000000000000005,0,left,left,0.5995075000100769,correct,True
Block 1: Monocular_Standard,125,0.05,0,right,right,0.6516643000068143,correct,True
Block 1: Monocular_Standard,126,-0.05,0,left,left,0.567157200013753,correct,True
Block 1: Monocular_Standard,127,-0.04,0,right,left,0.5468941999715753,false,False
Block 1: Monocular_Standard,128,-0.05,0,left,left,0.4019384999992326,correct,True
Block 1: Monocular_Standard,129,-0.05,0,left,left,0.7735156000126153,correct,True
Block 1: Monocular_Standard,130,-0.04,0,left,left,0.9721573000424542,correct,True
Block 1: Monocular_Standard,131,0.04,0,left,right,0.8545505999936722,false,False
Block 1: Monocular_Standard,132,0.05,0,right,right,0.4337868000147864,correct,True
Block 1: Monocular_Standard,133,0.05,0,left,right,0.5773250000202097,false,False
Block 1: Monocular_Standard,134,0.060000000000000005,0,right,right,0.4855657999869436,correct,True
Block 1: Monocular_Standard,135,-0.060000000000000005,0,left,left,0.6316748000099324,correct,True
Block 1: Monocular_Standard,136,-0.05,0,left,left,0.631316099956166,correct,True
Block 1: Monocular_Standard,137,0.05,0,right,right,0.5578157000127248,correct,True
Block 1: Monocular_Standard,138,0.04,0,left,right,0.5579581999918446,false,False
Block 1: Monocular_Standard,139,0.05,0,right,right,0.4123568000504747,correct,True
Block 1: Monocular_Standard,140,0.05,0,right,right,0.6517165999975987,correct,True
Block 1: Monocular_Standard,141,0.04,0,right,right,0.9833643999882042,correct,True
Block 1: Monocular_Standard,142,0.04,0,right,right,0.7412291999789886,correct,True
Block 1: Monocular_Standard,143,0.03,0,right,right,0.8284412000211887,correct,True
Block 1: Monocular_Standard,144,0.03,0,right,right,0.9183155999635346,correct,True
Block 1: Monocular_Standard,145,-0.019999999999999997,0,left,left,0.639952199999243,correct,True
Block 1: Monocular_Standard,146,0.019999999999999997,0,left,right,0.8712830999866128,false,False
Block 1: Monocular_Standard,147,-0.03,0,right,left,0.3710344000137411,false,False
Block 1: Monocular_Standard,148,-0.04,0,left,left,0.43272759998217225,correct,True
Block 1: Monocular_Standard,149,-0.04,0,left,left,0.7744645000202581,correct,True
Block 1: Monocular_Standard,150,0.03,0,right,right,0.7842669000383466,correct,True
Block 1: Monocular_Standard,151,0.03,0,right,right,0.7300211999681778,correct,True
Block 1: Monocular_Standard,152,0.019999999999999997,0,left,right,0.7545674000284635,false,False
Block 1: Monocular_Standard,153,-0.03,0,left,left,0.7650812999927439,correct,True
Block 1: Monocular_Standard,154,0.03,0,right,right,0.6399459000094794,correct,True
Block 1: Monocular_Standard,155,-0.019999999999999997,0,left,left,0.8368753000395373,correct,True
Block 1: Monocular_Standard,156,-0.019999999999999997,0,left,left,0.6898334000143223,correct,True
Block 1: Monocular_Standard,157,-0.009999999999999997,0,right,left,1.083752500009723,false,False
Block 1: Monocular_Standard,158,0.019999999999999997,0,left,right,0.44382370001403615,false,False
Block 1: Monocular_Standard,159,0.03,0,right,right,0.4960892000235617,correct,True
Block 1: Monocular_Standard,160,0.03,0,right,right,0.6816571000381373,correct,True
Block 1: Monocular_Standard,161,-0.019999999999999997,0,left,left,0.49630689999321476,correct,True
Block 1: Monocular_Standard,162,-0.019999999999999997,0,right,left,0.5699867000221275,false,False
Block 1: Monocular_Standard,163,0.03,0,right,right,0.5975961000076495,correct,True
Block 1: Monocular_Standard,164,0.03,0,right,right,0.5762708999682218,correct,True
Block 1: Monocular_Standard,165,0.019999999999999997,0,right,right,0.6095121999969706,correct,True
Block 1: Monocular_Standard,166,0.019999999999999997,0,left,right,0.7019684999831952,false,False
Block 1: Monocular_Standard,167,0.03,0,right,right,0.40491119999205694,correct,True
Block 1: Monocular_Standard,168,-0.03,0,right,left,0.5560182000044733,false,False
Block 1: Monocular_Standard,169,0.04,0,left,right,0.3602291999850422,false,False
Block 2: Monocular_Crowded,0,-0.15,0.29997446161293206,left,left,0.7316948000225239,correct,True
Block 2: Monocular_Crowded,1,0.15,0.29066583433794013,left,right,0.5477729999693111,false,False
Block 2: Monocular_Crowded,2,0.16,0.3187408003568471,left,right,0.7128903000266291,false,False
Block 2: Monocular_Crowded,3,-0.17,0.2815479260468861,right,left,0.33971630001906306,false,False
Block 2: Monocular_Crowded,4,0.18000000000000002,0.28065093110503425,left,right,0.18627100001322106,false,False
Block 2: Monocular_Crowded,5,0.19000000000000003,0.3100602212860054,left,right,0.31283429998438805,false,False
Block 2: Monocular_Crowded,6,-0.20000000000000004,0.29660147778582696,left,left,0.23863700003130361,correct,True
Block 2: Monocular_Crowded,7,-0.20000000000000004,0.30866334153163694,left,left,0.42359709995798767,correct,True
Block 2: Monocular_Crowded,8,0.19000000000000003,0.28222891064225797,right,right,0.5856383999926038,correct,True
Block 2: Monocular_Crowded,9,0.19000000000000003,0.3028677107849803,right,right,0.4126877000089735,correct,True
Block 2: Monocular_Crowded,10,-0.18000000000000002,0.2987505510421511,left,left,0.12343229999532923,correct,True
Block 2: Monocular_Crowded,11,0.18000000000000002,0.3106275236056163,right,right,0.6925100999651477,correct,True
Block 2: Monocular_Crowded,12,-0.17,0.31504594130983027,left,left,0.3105107999872416,correct,True
Block 2: Monocular_Crowded,13,0.17,0.3031442792818549,left,right,0.7313755000359379,false,False
Block 2: Monocular_Crowded,14,0.18000000000000002,0.31657239850945595,right,right,0.16415309999138117,correct,True
Block 2: Monocular_Crowded,15,-0.18000000000000002,0.2926589010920959,left,left,0.27706920000491664,correct,True
Block 2: Monocular_Crowded,16,-0.17,0.306579093778089,left,left,0.3299797999789007,correct,True
Block 2: Monocular_Crowded,17,0.17,0.2893585547255997,right,right,0.24802150001050904,correct,True
Block 2: Monocular_Crowded,18,0.16,0.3071442035437805,right,right,0.35029400000348687,correct,True
Block 2: Monocular_Crowded,19,-0.16,0.28539833739584936,left,left,0.17604920000303537,correct,True
Block 2: Monocular_Crowded,20,-0.15,0.2923815998635843,right,left,0.8142357000033371,false,False
Block 2: Monocular_Crowded,21,-0.16,0.3138075870256542,right,left,0.3603438999853097,false,False
Block 2: Monocular_Crowded,22,0.17,0.29301465021263523,right,right,0.39050769997993484,correct,True
Block 2: Monocular_Crowded,23,-0.17,0.2855403555252068,right,left,0.44338329997844994,false,False
Block 2: Monocular_Crowded,24,0.18000000000000002,0.29213862747968616,left,right,0.207349999982398,false,False
Block 2: Monocular_Crowded,25,-0.19000000000000003,0.286152944509899,left,left,0.4127279000240378,correct,True
Block 2: Monocular_Crowded,26,-0.19000000000000003,0.28344997515911363,left,left,0.38223570003174245,correct,True
Block 2: Monocular_Crowded,27,-0.18000000000000002,0.2970484337317655,left,left,0.4448600999894552,correct,True
Block 2: Monocular_Crowded,28,0.18000000000000002,0.31994198597528695,right,right,0.699147500039544,correct,True
Block 2: Monocular_Crowded,29,0.17,0.2877426398695734,right,right,0.3814474000246264,correct,True
Block 2: Monocular_Crowded,30,0.17,0.29923320653737767,left,right,0.2860418999916874,false,False
Block 2: Monocular_Crowded,31,-0.18000000000000002,0.3081644515824392,left,left,0.8011315000476316,correct,True
Block 2: Monocular_Crowded,32,0.18000000000000002,0.2993462353171356,left,right,0.45305810001445934,false,False
Block 2: Monocular_Crowded,33,0.19000000000000003,0.30328905811739165,left,right,0.6203780000214465,false,False
Block 2: Monocular_Crowded,34,-0.20000000000000004,0.28815254746918784,left,left,0.3716681999503635,correct,True
Block 2: Monocular_Crowded,35,0.20000000000000004,0.3046470575337371,right,right,0.409595699980855,correct,True
Block 2: Monocular_Crowded,36,0.19000000000000003,0.2984459134035432,right,right,0.3410585999954492,correct,True
Block 2: Monocular_Crowded,37,0.19000000000000003,0.30216293247905746,right,right,0.5454203999834135,correct,True
Block 2: Monocular_Crowded,38,-0.18000000000000002,0.30255878955519977,right,left,0.5273448000079952,false,False
Block 2: Monocular_Crowded,39,0.19000000000000003,0.2981751605257648,right,right,0.505681500013452,correct,True
Block 2: Monocular_Crowded,40,0.19000000000000003,0.28739726225123735,right,right,0.4542968000168912,correct,True
Block 2: Monocular_Crowded,41,0.18000000000000002,0.3002807022029516,left,right,0.17568290000781417,false,False
Block 2: Monocular_Crowded,42,-0.19000000000000003,0.30975580527481017,left,left,0.7933489999850281,correct,True
Block 2: Monocular_Crowded,43,-0.19000000000000003,0.309210422976454,left,left,0.9665901000262238,correct,True
Block 2: Monocular_Crowded,44,-0.18000000000000002,0.2934880621676428,left,left,0.4829726000316441,correct,True
Block 2: Monocular_Crowded,45,-0.18000000000000002,0.2921104636842983,right,left,0.1959340000175871,false,False
Block 2: Monocular_Crowded,46,-0.19000000000000003,0.3120083490685639,right,left,0.8525908999727108,false,False
Block 2: Monocular_Crowded,47,-0.20000000000000004,0.3117352225575422,left,left,0.4098388999700546,correct,True
Block 2: Monocular_Crowded,48,-0.20000000000000004,0.297741241413521,left,left,1.0838049000012688,correct,True
Block 2: Monocular_Crowded,49,-0.19000000000000003,0.30954807685375296,right,left,0.5157718000118621,false,False
Block 2: Monocular_Crowded,50,0.20000000000000004,0.28058271157362313,right,right,0.49486660002730787,correct,True
Block 2: Monocular_Crowded,51,-0.20000000000000004,0.28433108412104746,right,left,0.41020990000106394,false,False
Block 2: Monocular_Crowded,52,-0.21000000000000005,0.2881006370579082,right,left,0.5801521000103094,false,False
Block 2: Monocular_Crowded,53,0.22000000000000006,0.28779139714394225,left,right,0.195728299964685,false,False
