label,trials,offset,trial_spacing,keys,direction,response_time,accuracy,response_numeric
Block 1: Binocular_Standard,0,0.15,0,right,right,12.368287999997847,correct,True
Block 1: Binocular_Standard,1,0.15,0,right,right,4.72405009996146,correct,True
Block 1: Binocular_Standard,2,-0.13999999999999999,0,left,left,6.840471900010016,correct,True
Block 1: Binocular_Standard,3,-0.13999999999999999,0,right,left,4.979091699991841,false,False
Block 1: Binocular_Standard,4,-0.15,0,left,left,0.9552269999985583,correct,True
Block 1: Binocular_Standard,5,0.15,0,right,right,0.5691764000221156,correct,True
Block 1: Binocular_Standard,6,-0.13999999999999999,0,left,left,0.5076395000214688,correct,True
Block 1: Binocular_Standard,7,-0.13999999999999999,0,left,left,0.6003235999960452,correct,True
Block 1: Binocular_Standard,8,0.12999999999999998,0,right,right,0.7216322000022046,correct,True
Block 1: Binocular_Standard,9,-0.12999999999999998,0,left,left,0.6011741000111215,correct,True
Block 1: Binocular_Standard,10,0.11999999999999998,0,right,right,0.6838914999971166,correct,True
Block 1: Binocular_Standard,11,0.11999999999999998,0,right,right,0.5175411000382155,correct,True
Block 1: Binocular_Standard,12,0.10999999999999999,0,right,right,0.5277039000065997,correct,True
Block 1: Binocular_Standard,13,-0.10999999999999999,0,right,left,2.1817401999724098,false,False
Block 1: Binocular_Standard,14,-0.11999999999999998,0,left,left,0.6423696999554522,correct,True
Block 1: Binocular_Standard,15,0.11999999999999998,0,right,right,0.46424970001680776,correct,True
Block 1: Binocular_Standard,16,-0.10999999999999999,0,left,left,0.7913426999584772,correct,True
Block 1: Binocular_Standard,17,0.10999999999999999,0,right,right,0.6061635999940336,correct,True
Block 1: Binocular_Standard,18,-0.09999999999999999,0,left,left,0.7218406000174582,correct,True
Block 1: Binocular_Standard,19,0.09999999999999999,0,right,right,0.4212129999650642,correct,True
Block 1: Binocular_Standard,20,0.09,0,right,right,0.4644708000123501,correct,True
Block 1: Binocular_Standard,21,0.09,0,right,right,0.508444800041616,correct,True
Block 1: Binocular_Standard,22,0.08,0,right,right,0.5182035999605432,correct,True
Block 1: Binocular_Standard,23,0.08,0,right,right,0.7114488999941386,correct,True
Block 1: Binocular_Standard,24,-0.07,0,right,left,1.1996675000409596,false,False
Block 1: Binocular_Standard,25,0.08,0,right,right,0.43025789997773245,correct,True
Block 1: Binocular_Standard,26,-0.08,0,right,left,0.6418615000438876,false,False
Block 1: Binocular_Standard,27,-0.09,0,left,left,0.8663756999885663,correct,True
Block 1: Binocular_Standard,28,-0.09,0,left,left,0.7549730999744497,correct,True
Block 1: Binocular_Standard,29,-0.08,0,left,left,0.5046906000352465,correct,True
Block 1: Binocular_Standard,30,0.08,0,right,right,0.465271599998232,correct,True
Block 1: Binocular_Standard,31,0.07,0,right,right,0.39207830000668764,correct,True
Block 1: Binocular_Standard,32,0.07,0,right,right,0.5081679999711923,correct,True
Block 1: Binocular_Standard,33,0.060000000000000005,0,right,right,0.4238591000321321,correct,True
Block 1: Binocular_Standard,34,-0.060000000000000005,0,left,left,0.5289603999699466,correct,True
Block 1: Binocular_Standard,35,0.05,0,right,right,0.5366035000188276,correct,True
Block 1: Binocular_Standard,36,0.05,0,right,right,0.5681199000100605,correct,True
Block 1: Binocular_Standard,37,0.04,0,right,right,0.4954613000154495,correct,True
Block 1: Binocular_Standard,38,-0.04,0,left,left,0.8583916999632493,correct,True
Block 1: Binocular_Standard,39,0.03,0,right,right,0.78419890004443,correct,True
Block 1: Binocular_Standard,40,0.03,0,right,right,0.5899882999947295,correct,True
Block 1: Binocular_Standard,41,0.019999999999999997,0,right,right,0.5567694999626838,correct,True
Block 1: Binocular_Standard,42,-0.019999999999999997,0,right,left,0.6474380000145175,false,False
Block 1: Binocular_Standard,43,0.03,0,right,right,0.8469491999712773,correct,True
Block 1: Binocular_Standard,44,0.03,0,right,right,0.5492886999854818,correct,True
Block 1: Binocular_Standard,45,-0.019999999999999997,0,right,left,0.6749875000095926,false,False
Block 1: Binocular_Standard,46,-0.03,0,right,left,1.2116918000392616,false,False
Block 1: Binocular_Standard,47,-0.04,0,left,left,0.663627700007055,correct,True
Block 1: Binocular_Standard,48,0.04,0,right,right,0.5792723000049591,correct,True
Block 1: Binocular_Standard,49,-0.03,0,right,left,1.9518463999847881,false,False
Block 1: Binocular_Standard,50,0.04,0,right,right,1.0450991000398062,correct,True
Block 1: Binocular_Standard,51,-0.04,0,left,left,0.527588700002525,correct,True
Block 1: Binocular_Standard,52,-0.03,0,left,left,0.5994647999759763,correct,True
Block 1: Binocular_Standard,53,0.03,0,right,right,0.7277940000058152,correct,True
Block 1: Binocular_Standard,54,0.019999999999999997,0,right,right,0.8226218000054359,correct,True
Block 1: Binocular_Standard,55,-0.019999999999999997,0,left,left,0.8167596000130288,correct,True
Block 1: Binocular_Standard,56,-0.009999999999999997,0,right,left,0.6864127999870107,false,False
Block 1: Binocular_Standard,57,0.019999999999999997,0,right,right,1.3096801999490708,correct,True
Block 1: Binocular_Standard,58,-0.019999999999999997,0,left,left,0.5663063999963924,correct,True
Block 1: Binocular_Standard,59,0.009999999999999997,0,left,right,0.7038905999506824,false,False
Block 1: Binocular_Standard,60,-0.019999999999999997,0,left,left,0.754676099983044,correct,True
Block 1: Binocular_Standard,61,0.019999999999999997,0,left,right,1.723975699977018,false,False
Block 1: Binocular_Standard,62,-0.03,0,right,left,0.41230639995774254,false,False
Block 1: Binocular_Standard,63,0.04,0,right,right,2.0923858999740332,correct,True
Block 1: Binocular_Standard,64,-0.04,0,left,left,0.4976030000252649,correct,True
Block 1: Binocular_Standard,65,-0.03,0,left,left,1.0107664999668486,correct,True
Block 1: Binocular_Standard,66,-0.03,0,left,left,0.5544345999951474,correct,True
Block 1: Binocular_Standard,67,0.019999999999999997,0,left,right,0.6785935999942012,false,False
Block 1: Binocular_Standard,68,0.03,0,right,right,0.6732802999904379,correct,True
Block 1: Binocular_Standard,69,0.03,0,left,right,0.6445999999996275,false,False
Block 1: Binocular_Standard,70,-0.04,0,left,left,1.5527252000174485,correct,True
Block 1: Binocular_Standard,71,0.04,0,right,right,0.8578705000109039,correct,True
Block 1: Binocular_Standard,72,-0.03,0,left,left,0.7561697000055574,correct,True
Block 1: Binocular_Standard,73,-0.03,0,left,left,0.5759999000001699,correct,True
Block 1: Binocular_Standard,74,0.019999999999999997,0,left,right,0.5875181999872439,false,False
Block 1: Binocular_Standard,75,-0.03,0,right,left,0.5364780999952927,false,False
Block 1: Binocular_Standard,76,0.04,0,right,right,0.7678451000247151,correct,True
Block 1: Binocular_Standard,77,0.04,0,right,right,0.7247836000169627,correct,True
Block 1: Binocular_Standard,78,0.03,0,right,right,0.5257832999923266,correct,True
Block 1: Binocular_Standard,79,0.03,0,right,right,0.5573713000048883,correct,True
Block 1: Binocular_Standard,80,-0.019999999999999997,0,right,left,0.6653697000001557,false,False
Block 1: Binocular_Standard,81,-0.03,0,left,left,0.5163758000126109,correct,True
Block 1: Binocular_Standard,82,0.03,0,right,right,0.7231318000121973,correct,True
Block 1: Binocular_Standard,83,0.019999999999999997,0,right,right,0.9807389000197873,correct,True
Block 1: Binocular_Standard,84,0.019999999999999997,0,right,right,0.5600848000030965,correct,True
Block 1: Binocular_Standard,85,-0.009999999999999997,0,left,left,0.6841685000108555,correct,True
Block 1: Binocular_Standard,86,0.009999999999999997,0,right,right,1.4947945000021718,correct,True
Block 1: Binocular_Standard,87,0,0,right,left,0.5151258999831043,false,False
Block 1: Binocular_Standard,88,0.01,0,left,right,0.5557932999799959,false,False
Block 1: Binocular_Standard,89,-0.02,0,right,left,0.680382999998983,false,False
Block 1: Binocular_Standard,90,0.03,0,right,right,1.3183565000072122,correct,True
Block 1: Binocular_Standard,91,0.03,0,right,right,0.5434705000370741,correct,True
Block 1: Binocular_Standard,92,0.019999999999999997,0,right,right,0.6920430000172928,correct,True
Block 1: Binocular_Standard,93,0.019999999999999997,0,right,right,0.5872532000066712,correct,True
Block 1: Binocular_Standard,94,-0.009999999999999997,0,right,left,0.5060875999624841,false,False
Block 1: Binocular_Standard,95,-0.019999999999999997,0,left,left,2.416740700020455,correct,True
Block 1: Binocular_Standard,96,-0.019999999999999997,0,left,left,3.132151000027079,correct,True
Block 1: Binocular_Standard,97,0.009999999999999997,0,right,right,0.6703180000185966,correct,True
