label,trials,offset,keys,direction,response_time,accuracy,response_numeric
Block 3: Monocular_Standard,0,0.15,left,right,0.5991914000005636,false,0
Block 3: Monocular_Standard,1,0.16,right,right,0.5830294000006688,correct,1
Block 3: Monocular_Standard,2,-0.16,left,left,0.4634509999996226,correct,1
Block 3: Monocular_Standard,3,-0.15,left,left,0.395293200001106,correct,1
Block 3: Monocular_Standard,4,-0.15,left,left,0.5984846000010293,correct,1
Block 3: Monocular_Standard,5,-0.13999999999999999,left,left,0.5449700000008306,correct,1
Block 3: Monocular_Standard,6,-0.13999999999999999,left,left,0.46988450000026205,correct,1
Block 3: Monocular_Standard,7,-0.12999999999999998,left,left,0.4346205000001646,correct,1
Block 3: Monocular_Standard,8,0.12999999999999998,right,right,0.40403930000138644,correct,1
Block 3: Monocular_Standard,9,0.11999999999999998,right,right,0.4148587999989104,correct,1
Block 3: Monocular_Standard,10,0.11999999999999998,right,right,0.4173827999984496,correct,1
Block 3: Monocular_Standard,11,-0.10999999999999999,left,left,0.5028551999985211,correct,1
Block 3: Monocular_Standard,12,-0.10999999999999999,left,left,0.5207160000009026,correct,1
Block 3: Monocular_Standard,13,-0.09999999999999999,left,left,0.4449464999997872,correct,1
Block 3: Monocular_Standard,14,0.09999999999999999,right,right,0.32910420000007434,correct,1
Block 3: Monocular_Standard,15,0.09,right,right,0.6191527000009955,correct,1
Block 3: Monocular_Standard,16,-0.09,left,left,0.38227159999951255,correct,1
Block 3: Monocular_Standard,17,-0.08,right,left,0.30740180000066175,false,0
Block 3: Monocular_Standard,18,-0.09,left,left,0.37364530000013474,correct,1
Block 3: Monocular_Standard,19,0.09,right,right,0.3073815999996441,correct,1
Block 3: Monocular_Standard,20,0.08,right,right,0.48690829999941343,correct,1
Block 3: Monocular_Standard,21,-0.08,left,left,0.4113907000009931,correct,1
Block 3: Monocular_Standard,22,-0.07,right,left,0.42591580000043905,false,0
Block 3: Monocular_Standard,23,-0.08,left,left,0.29910539999946195,correct,1
Block 3: Monocular_Standard,24,0.08,right,right,0.415216600000349,correct,1
Block 3: Monocular_Standard,25,-0.07,right,left,0.36237900000014633,false,0
Block 3: Monocular_Standard,26,-0.08,left,left,0.5073302999990119,correct,1
Block 3: Monocular_Standard,27,-0.08,right,left,0.37584790000073554,false,0
Block 3: Monocular_Standard,28,0.09,right,right,0.37229800000022806,correct,1
Block 3: Monocular_Standard,29,0.09,right,right,0.6602338000011514,correct,1
Block 3: Monocular_Standard,30,-0.08,left,left,0.42666879999887897,correct,1
Block 3: Monocular_Standard,31,0.08,right,right,0.4331603999999061,correct,1
Block 3: Monocular_Standard,32,-0.07,right,left,0.6259096000012505,false,0
Block 3: Monocular_Standard,33,0.08,left,right,0.33192479999888747,false,0
Block 3: Monocular_Standard,34,-0.09,left,left,0.3444077999993169,correct,1
Block 3: Monocular_Standard,35,0.09,right,right,0.374349900001107,correct,1
Block 3: Monocular_Standard,36,-0.08,left,left,0.42692779999924824,correct,1
Block 3: Monocular_Standard,37,-0.08,left,left,0.5318759999991016,correct,1
Block 3: Monocular_Standard,38,0.07,right,right,0.40446669999982987,correct,1
Block 3: Monocular_Standard,39,-0.07,left,left,0.37028949999876204,correct,1
Block 3: Monocular_Standard,40,0.060000000000000005,right,right,0.5592744999994466,correct,1
Block 3: Monocular_Standard,41,0.060000000000000005,right,right,0.5055269000004046,correct,1
Block 3: Monocular_Standard,42,0.05,right,right,0.4470610999997007,correct,1
Block 3: Monocular_Standard,43,0.05,right,right,0.43424229999982344,correct,1
Block 3: Monocular_Standard,44,0.04,right,right,0.5201182999990124,correct,1
Block 3: Monocular_Standard,45,0.04,right,right,0.383067700000538,correct,1
Block 3: Monocular_Standard,46,0.03,right,right,0.49443930000052205,correct,1
Block 3: Monocular_Standard,47,-0.03,right,left,0.39378430000033404,false,0
Block 3: Monocular_Standard,48,0.04,right,right,0.429230000001553,correct,1
Block 3: Monocular_Standard,49,-0.04,right,left,0.4263647999996465,false,0
Block 3: Monocular_Standard,50,0.05,right,right,0.5230819000007614,correct,1
Block 3: Monocular_Standard,51,0.05,right,right,0.5119916999992711,correct,1
Block 3: Monocular_Standard,52,0.04,left,right,0.5663127999996505,false,0
Block 3: Monocular_Standard,53,-0.05,right,left,0.3725106000001688,false,0
Block 3: Monocular_Standard,54,0.060000000000000005,right,right,0.3380424999995739,correct,1
Block 3: Monocular_Standard,55,-0.060000000000000005,left,left,0.3809698999993998,correct,1
Block 3: Monocular_Standard,56,-0.05,right,left,0.4760261999999784,false,0
Block 3: Monocular_Standard,57,0.060000000000000005,right,right,0.503050199999052,correct,1
Block 3: Monocular_Standard,58,0.060000000000000005,right,right,0.4495377000002918,correct,1
Block 3: Monocular_Standard,59,-0.05,right,left,0.6300725000000966,false,0
Block 3: Monocular_Standard,60,-0.060000000000000005,right,left,0.3922492000001512,false,0
Block 3: Monocular_Standard,61,0.07,left,right,0.43375170000035723,false,0
Block 3: Monocular_Standard,62,-0.08,left,left,0.3876957000011316,correct,1
Block 3: Monocular_Standard,63,-0.08,left,left,0.38367380000090634,correct,1
Block 3: Monocular_Standard,64,-0.07,left,left,0.5607626000000892,correct,1
Block 3: Monocular_Standard,65,0.07,right,right,0.3615260999995371,correct,1
Block 3: Monocular_Standard,66,-0.060000000000000005,left,left,0.4685332000008202,correct,1
Block 3: Monocular_Standard,67,0.060000000000000005,right,right,0.4481861999993271,correct,1
Block 3: Monocular_Standard,68,0.05,right,right,0.424666699998852,correct,1
Block 3: Monocular_Standard,69,0.05,right,right,0.48920929999985674,correct,1
Block 3: Monocular_Standard,70,-0.04,left,left,0.5339079000004858,correct,1
Block 3: Monocular_Standard,71,-0.04,left,left,0.44715939999878174,correct,1
Block 3: Monocular_Standard,72,-0.03,left,left,0.47317280000061146,correct,1
Block 3: Monocular_Standard,73,-0.03,left,left,0.660490899999786,correct,1
Block 3: Monocular_Standard,74,-0.019999999999999997,left,left,0.5430286000009801,correct,1
Block 3: Monocular_Standard,75,-0.019999999999999997,right,left,0.627089599998726,false,0
Block 3: Monocular_Standard,76,0.03,left,right,0.4043593000005785,false,0
Block 3: Monocular_Standard,77,-0.04,left,left,0.40509190000011586,correct,1
Block 3: Monocular_Standard,78,-0.04,right,left,0.3740770000003977,false,0
Block 3: Monocular_Standard,79,0.05,right,right,0.3507160000008298,correct,1
Block 3: Monocular_Standard,80,0.05,right,right,0.48394069999994827,correct,1
Block 3: Monocular_Standard,81,-0.04,left,left,0.6020209999987856,correct,1
Block 3: Monocular_Standard,82,0.04,right,right,0.39366270000027725,correct,1
Block 3: Monocular_Standard,83,0.03,right,right,0.3842644999986078,correct,1
Block 3: Monocular_Standard,84,-0.03,right,left,0.6429349999998522,false,0
Block 3: Monocular_Standard,85,0.04,left,right,0.4555170999992697,false,0
Block 3: Monocular_Standard,86,0.05,right,right,0.4152491999993799,correct,1
Block 3: Monocular_Standard,87,0.05,right,right,0.3179665000006935,correct,1
Block 3: Monocular_Standard,88,0.04,left,right,0.5128242999999202,false,0
Block 3: Monocular_Standard,89,-0.05,left,left,0.5145586999988154,correct,1
Block 3: Monocular_Standard,90,0.05,right,right,0.5146561000001384,correct,1
Block 3: Monocular_Standard,91,0.04,right,right,0.546140700000251,correct,1
Block 3: Monocular_Standard,92,0.04,right,right,0.4279757000003883,correct,1
Block 3: Monocular_Standard,93,0.03,right,right,0.4362087999998039,correct,1
Block 3: Monocular_Standard,94,-0.03,left,left,0.46901160000015807,correct,1
Block 3: Monocular_Standard,95,0.019999999999999997,right,right,0.5573576000006142,correct,1
Block 3: Monocular_Standard,96,0.019999999999999997,left,right,0.5195102999987284,false,0
Block 3: Monocular_Standard,97,0.03,right,right,0.39404880000074627,correct,1
Block 3: Monocular_Standard,98,-0.03,left,left,0.44072500000038417,correct,1
Block 3: Monocular_Standard,99,0.019999999999999997,left,right,0.4591783000014402,false,0
Block 3: Monocular_Standard,100,-0.03,right,left,0.3376955000003363,false,0
Block 3: Monocular_Standard,101,0.04,left,right,0.36323690000062925,false,0
Block 3: Monocular_Standard,102,0.05,right,right,0.598715699999957,correct,1
Block 3: Monocular_Standard,103,-0.05,left,left,0.42636359999960405,correct,1
Block 3: Monocular_Standard,104,-0.04,left,left,0.4120676000002277,correct,1
Block 3: Monocular_Standard,105,0.04,right,right,0.5660035000000789,correct,1
Block 3: Monocular_Standard,106,-0.03,left,left,0.3635980999988533,correct,1
Block 3: Monocular_Standard,107,0.03,right,right,0.6072373000006337,correct,1
Block 3: Monocular_Standard,108,0.019999999999999997,left,right,0.4363238000005367,false,0
Block 3: Monocular_Standard,109,-0.03,left,left,0.5315728000005038,correct,1
Block 3: Monocular_Standard,110,-0.03,left,left,0.40561370000068564,correct,1
Block 3: Monocular_Standard,111,-0.019999999999999997,left,left,0.5544018000000506,correct,1
Block 3: Monocular_Standard,112,0.019999999999999997,right,right,0.48025719999895955,correct,1
Block 3: Monocular_Standard,113,-0.009999999999999997,left,left,0.40751170000112324,correct,1
Block 3: Monocular_Standard,114,-0.009999999999999997,left,left,0.373314800001026,correct,1
Block 3: Monocular_Standard,115,0,left,left,0.39147290000073554,correct,1
Block 3: Monocular_Standard,116,0,left,left,0.37279149999994843,correct,1
Block 3: Monocular_Standard,117,0,left,left,0.3281241999993654,correct,1
Block 3: Monocular_Standard,118,0,left,left,0.301307400000951,correct,1
Block 3: Monocular_Standard,119,0,left,right,0.39509320000070147,false,0
Block 3: Monocular_Standard,120,0.01,right,right,0.4397922000007384,correct,1
Block 3: Monocular_Standard,121,0.01,left,right,0.36155300000064017,false,0
Block 3: Monocular_Standard,122,0.02,left,right,0.520534499999485,false,0
Block 3: Monocular_Standard,123,0.03,right,right,0.2867935000012949,correct,1
Block 3: Monocular_Standard,124,0.03,left,right,0.40313610000157496,false,0
Block 3: Monocular_Standard,125,-0.04,left,left,0.3856130000003759,correct,1
Block 3: Monocular_Standard,126,0.04,left,right,0.4692046999989543,false,0
Block 3: Monocular_Standard,127,-0.05,left,left,0.664104600000428,correct,1
Block 3: Monocular_Standard,128,-0.05,left,left,0.4610074000011082,correct,1
Block 3: Monocular_Standard,129,-0.04,right,left,0.6794637999992119,false,0
Block 3: Monocular_Standard,130,-0.05,right,left,0.5750747000001866,false,0
Block 3: Monocular_Standard,131,0.060000000000000005,left,right,0.3409568999995827,false,0
