label,trials,offset,keys,direction,response_time,accuracy,response_numeric
Block 1: Binocular_Standard,0,0.15,left,right,1.052567700000509,false,0
Block 1: Binocular_Standard,1,0.16,right,right,1.040438099998937,correct,1
Block 1: Binocular_Standard,2,-0.16,left,left,0.7163431999997556,correct,1
Block 1: Binocular_Standard,3,-0.15,left,left,1.1313384999994014,correct,1
Block 1: Binocular_Standard,4,-0.15,left,left,0.5418000999998185,correct,1
Block 1: Binocular_Standard,5,-0.13999999999999999,left,left,0.4970716999996512,correct,1
Block 1: Binocular_Standard,6,-0.13999999999999999,left,left,0.4400430999994569,correct,1
Block 1: Binocular_Standard,7,0.12999999999999998,right,right,0.5641713999993954,correct,1
Block 1: Binocular_Standard,8,0.12999999999999998,right,right,0.5445720999996411,correct,1
Block 1: Binocular_Standard,9,-0.11999999999999998,left,left,0.8429611999999906,correct,1
Block 1: Binocular_Standard,10,0.11999999999999998,right,right,0.4825562000005448,correct,1
Block 1: Binocular_Standard,11,-0.10999999999999999,left,left,0.595462299999781,correct,1
Block 1: Binocular_Standard,12,-0.10999999999999999,left,left,0.7426481000002241,correct,1
Block 1: Binocular_Standard,13,-0.09999999999999999,left,left,0.4361697999993339,correct,1
Block 1: Binocular_Standard,14,0.09999999999999999,right,right,0.4807229999987612,correct,1
Block 1: Binocular_Standard,15,-0.09,left,left,0.44501130000026023,correct,1
Block 1: Binocular_Standard,16,-0.09,left,left,0.6178768000008859,correct,1
Block 1: Binocular_Standard,17,-0.08,left,left,0.4923897000007855,correct,1
Block 1: Binocular_Standard,18,-0.08,right,left,1.5163670999991155,false,0
Block 1: Binocular_Standard,19,-0.09,left,left,0.49326250000012806,correct,1
Block 1: Binocular_Standard,20,-0.09,left,left,0.5456623000009131,correct,1
Block 1: Binocular_Standard,21,-0.08,left,left,0.4588655000006838,correct,1
Block 1: Binocular_Standard,22,-0.08,left,left,0.6189500999989832,correct,1
Block 1: Binocular_Standard,23,-0.07,right,left,0.4887452000002668,false,0
Block 1: Binocular_Standard,24,-0.08,left,left,0.5843798000005336,correct,1
Block 1: Binocular_Standard,25,-0.08,left,left,0.5546348999996553,correct,1
Block 1: Binocular_Standard,26,0.07,right,right,0.5199465000005148,correct,1
Block 1: Binocular_Standard,27,-0.07,right,left,0.8161240000008547,false,0
Block 1: Binocular_Standard,28,0.08,right,right,0.41504730000087875,correct,1
Block 1: Binocular_Standard,29,0.08,right,right,0.37505029999920225,correct,1
Block 1: Binocular_Standard,30,-0.07,left,left,0.4904571000006399,correct,1
Block 1: Binocular_Standard,31,0.07,right,right,0.3609364000003552,correct,1
Block 1: Binocular_Standard,32,0.060000000000000005,right,right,0.5317057000011118,correct,1
Block 1: Binocular_Standard,33,0.060000000000000005,right,right,0.3965291000004072,correct,1
Block 1: Binocular_Standard,34,0.05,right,right,0.397801499999332,correct,1
Block 1: Binocular_Standard,35,-0.05,right,left,0.32700240000121994,false,0
Block 1: Binocular_Standard,36,0.060000000000000005,right,right,0.43290970000089146,correct,1
Block 1: Binocular_Standard,37,0.060000000000000005,right,right,0.4411034999993717,correct,1
Block 1: Binocular_Standard,38,-0.05,left,left,0.5979781999994884,correct,1
Block 1: Binocular_Standard,39,-0.05,left,left,0.700448999999935,correct,1
Block 1: Binocular_Standard,40,-0.04,right,left,0.8655754999999772,false,0
Block 1: Binocular_Standard,41,-0.05,left,left,0.8904590999991342,correct,1
Block 1: Binocular_Standard,42,0.05,right,right,0.5129828000008274,correct,1
Block 1: Binocular_Standard,43,0.04,right,right,0.6093380000002071,correct,1
Block 1: Binocular_Standard,44,-0.04,left,left,0.9635656999998901,correct,1
Block 1: Binocular_Standard,45,-0.03,right,left,0.3762325999996392,false,0
Block 1: Binocular_Standard,46,-0.04,right,left,0.4152377999998862,false,0
Block 1: Binocular_Standard,47,0.05,right,right,0.47537410000040836,correct,1
Block 1: Binocular_Standard,48,0.05,right,right,0.448947800001406,correct,1
Block 1: Binocular_Standard,49,0.04,right,right,0.3824248999990232,correct,1
Block 1: Binocular_Standard,50,0.04,right,right,0.3952118999986851,correct,1
Block 1: Binocular_Standard,51,0.03,left,right,0.5876506000004156,false,0
Block 1: Binocular_Standard,52,0.04,right,right,0.35791989999961515,correct,1
Block 1: Binocular_Standard,53,-0.04,right,left,0.30613310000080673,false,0
Block 1: Binocular_Standard,54,0.05,right,right,0.4422875000000204,correct,1
Block 1: Binocular_Standard,55,-0.05,right,left,0.3398868999993283,false,0
Block 1: Binocular_Standard,56,0.060000000000000005,right,right,0.3210312999999587,correct,1
Block 1: Binocular_Standard,57,0.060000000000000005,right,right,0.36165020000044024,correct,1
Block 1: Binocular_Standard,58,0.05,right,right,0.5791423999999097,correct,1
Block 1: Binocular_Standard,59,0.05,right,right,0.33315630000106466,correct,1
Block 1: Binocular_Standard,60,0.04,right,right,0.7477464000003238,correct,1
Block 1: Binocular_Standard,61,-0.04,left,left,0.4783333000013954,correct,1
Block 1: Binocular_Standard,62,-0.03,right,left,0.7594958999998198,false,0
Block 1: Binocular_Standard,63,-0.04,left,left,0.6615192999997817,correct,1
Block 1: Binocular_Standard,64,-0.04,left,left,0.5450705000002927,correct,1
Block 1: Binocular_Standard,65,-0.03,right,left,0.5774148000000423,false,0
Block 1: Binocular_Standard,66,-0.04,left,left,0.4244976999998471,correct,1
Block 1: Binocular_Standard,67,-0.04,right,left,0.5510021999998571,false,0
Block 1: Binocular_Standard,68,0.05,right,right,0.4041592000012315,correct,1
Block 1: Binocular_Standard,69,0.05,right,right,0.4061928999999509,correct,1
Block 1: Binocular_Standard,70,0.04,right,right,0.4901590999998007,correct,1
Block 1: Binocular_Standard,71,0.04,right,right,0.5871225999999297,correct,1
Block 1: Binocular_Standard,72,-0.03,left,left,0.7653898999997182,correct,1
Block 1: Binocular_Standard,73,0.03,right,right,0.5798240000003716,correct,1
Block 1: Binocular_Standard,74,0.019999999999999997,right,right,0.449357699999382,correct,1
Block 1: Binocular_Standard,75,0.019999999999999997,right,right,0.5800868999995146,correct,1
Block 1: Binocular_Standard,76,-0.009999999999999997,right,left,0.40435140000045067,false,0
Block 1: Binocular_Standard,77,0.019999999999999997,right,right,0.4363541000002442,correct,1
Block 1: Binocular_Standard,78,0.019999999999999997,right,right,0.45525090000046475,correct,1
Block 1: Binocular_Standard,79,-0.009999999999999997,left,left,0.5724274000003788,correct,1
Block 1: Binocular_Standard,80,0.009999999999999997,right,right,0.450239200001306,correct,1
Block 1: Binocular_Standard,81,0,right,right,0.3969151999990572,correct,1
Block 1: Binocular_Standard,82,0,left,left,0.44408609999845794,correct,1
Block 1: Binocular_Standard,83,0,right,right,0.35282740000002377,correct,1
Block 1: Binocular_Standard,84,0,right,left,0.5118802999986656,false,0
Block 1: Binocular_Standard,85,-0.01,right,left,0.5135107000005519,false,0
Block 1: Binocular_Standard,86,0.02,right,right,0.7497693999994226,correct,1
Block 1: Binocular_Standard,87,0.02,left,right,0.4190971999996691,false,0
Block 1: Binocular_Standard,88,-0.03,left,left,0.44588800000019546,correct,1
Block 1: Binocular_Standard,89,0.03,right,right,0.4273957999994309,correct,1
Block 1: Binocular_Standard,90,0.019999999999999997,right,right,0.9845991000001959,correct,1
Block 1: Binocular_Standard,91,-0.019999999999999997,right,left,0.6231016000001546,false,0
Block 1: Binocular_Standard,92,0.03,right,right,0.4347453000009409,correct,1
Block 1: Binocular_Standard,93,-0.03,left,left,0.4484403000005841,correct,1
Block 1: Binocular_Standard,94,0.019999999999999997,right,right,0.8119744999985414,correct,1
Block 1: Binocular_Standard,95,0.019999999999999997,right,right,0.5409856000005675,correct,1
Block 1: Binocular_Standard,96,0.009999999999999997,left,right,0.6736517999997886,false,0
Block 1: Binocular_Standard,97,0.019999999999999997,right,right,0.3586009999999078,correct,1
Block 1: Binocular_Standard,98,0.019999999999999997,left,right,1.04512479999903,false,0
Block 1: Binocular_Standard,99,-0.03,right,left,0.6535490000005666,false,0
Block 1: Binocular_Standard,100,0.04,right,right,0.3817981000011059,correct,1
Block 1: Binocular_Standard,101,0.04,right,right,0.41607959999964805,correct,1
Block 1: Binocular_Standard,102,0.03,right,right,0.36560110000027635,correct,1
Block 1: Binocular_Standard,103,-0.03,right,left,0.6512122999993153,false,0
Block 1: Binocular_Standard,104,-0.04,right,left,0.5105342999995628,false,0
Block 1: Binocular_Standard,105,-0.05,left,left,0.3952022000012221,correct,1
Block 1: Binocular_Standard,106,-0.05,right,left,0.5862774999986868,false,0
Block 1: Binocular_Standard,107,-0.060000000000000005,right,left,0.38279680000050575,false,0
Block 1: Binocular_Standard,108,-0.07,left,left,0.4802844999994704,correct,1
Block 1: Binocular_Standard,109,-0.07,left,left,0.4874486999997316,correct,1
Block 1: Binocular_Standard,110,0.060000000000000005,right,right,0.38530290000016976,correct,1
Block 1: Binocular_Standard,111,0.060000000000000005,right,right,0.4279487000003428,correct,1
Block 1: Binocular_Standard,112,0.05,right,right,0.7170827000009012,correct,1
Block 1: Binocular_Standard,113,-0.05,left,left,0.5758060999996815,correct,1
Block 1: Binocular_Standard,114,-0.04,left,left,0.680368899998939,correct,1
Block 1: Binocular_Standard,115,0.04,right,right,0.4726073000001634,correct,1
Block 1: Binocular_Standard,116,0.03,right,right,0.6399810000002617,correct,1
Block 1: Binocular_Standard,117,0.03,right,right,0.5417672000003222,correct,1
Block 1: Binocular_Standard,118,-0.019999999999999997,left,left,0.5639658000000054,correct,1
Block 1: Binocular_Standard,119,-0.019999999999999997,right,left,0.4922810000007303,false,0
Block 1: Binocular_Standard,120,-0.03,left,left,0.3918498000002728,correct,1
Block 1: Binocular_Standard,121,-0.03,left,left,0.3875330999999278,correct,1
Block 1: Binocular_Standard,122,0.019999999999999997,right,right,0.6208571000006486,correct,1
Block 1: Binocular_Standard,123,-0.019999999999999997,left,left,0.507259799998792,correct,1
Block 1: Binocular_Standard,124,-0.009999999999999997,right,left,0.37227529999836406,false,0
Block 1: Binocular_Standard,125,-0.019999999999999997,left,left,0.4836044000003312,correct,1
Block 1: Binocular_Standard,126,-0.019999999999999997,left,left,0.5417940999996063,correct,1
Block 1: Binocular_Standard,127,0.009999999999999997,left,right,0.6435316999995848,false,0
Block 1: Binocular_Standard,128,0.019999999999999997,left,right,0.5210680000000139,false,0
Block 1: Binocular_Standard,129,0.03,right,right,0.8324468999999226,correct,1
Block 1: Binocular_Standard,130,0.03,left,right,0.49428619999889634,false,0
Block 1: Binocular_Standard,131,-0.04,left,left,0.5324519000005239,correct,1
Block 1: Binocular_Standard,132,0.04,right,right,0.5240412000002834,correct,1
Block 1: Binocular_Standard,133,0.03,right,right,0.6535424000012426,correct,1
Block 1: Binocular_Standard,134,-0.03,left,left,0.49558629999955883,correct,1
Block 1: Binocular_Standard,135,-0.019999999999999997,left,left,0.5024475999998685,correct,1
Block 1: Binocular_Standard,136,0.019999999999999997,right,right,0.5661500999995042,correct,1
Block 1: Binocular_Standard,137,-0.009999999999999997,left,left,0.6007817999998224,correct,1
Block 1: Binocular_Standard,138,-0.009999999999999997,left,left,0.4806810000009136,correct,1
Block 1: Binocular_Standard,139,0,right,right,0.5415379000005487,correct,1
Block 1: Binocular_Standard,140,0,right,right,0.45391530000051716,correct,1
Block 1: Binocular_Standard,141,0,left,left,0.38084150000031514,correct,1
Block 1: Binocular_Standard,142,0,left,left,0.5239810000002763,correct,1
Block 1: Binocular_Standard,143,0,right,left,0.418454999999085,false,0
Block 1: Binocular_Standard,144,-0.01,left,left,0.4027667999998812,correct,1
Block 1: Binocular_Standard,145,0.01,right,right,0.3731139000010444,correct,1
Block 1: Binocular_Standard,146,0.0,left,right,0.3812433000002784,false,0
Block 1: Binocular_Standard,147,0.01,left,right,0.3501812999984395,false,0
Block 1: Binocular_Standard,148,-0.02,left,left,0.6048567999987426,correct,1
Block 1: Binocular_Standard,149,0.02,right,right,0.29911770000035176,correct,1
Block 1: Binocular_Standard,150,-0.01,left,left,0.551151600000594,correct,1
Block 1: Binocular_Standard,151,0.01,right,right,0.5224535999986983,correct,1
Block 1: Binocular_Standard,152,0.0,right,right,0.447323200000028,correct,1
Block 1: Binocular_Standard,153,-0.0,left,left,0.6327193999986775,correct,1
Block 1: Binocular_Standard,154,0,left,left,0.37264560000039637,correct,1
Block 1: Binocular_Standard,155,0,right,left,0.45934809999926074,false,0
Block 1: Binocular_Standard,156,0.01,left,right,0.2764673000001494,false,0
Block 1: Binocular_Standard,157,0.02,right,right,0.569876600000498,correct,1
Block 1: Binocular_Standard,158,-0.02,left,left,0.46176290000039444,correct,1
Block 1: Binocular_Standard,159,-0.01,left,left,0.5843674999996438,correct,1
Block 1: Binocular_Standard,160,0.01,left,right,0.597428699999,false,0
Block 1: Binocular_Standard,161,0.02,left,right,0.4749573999997665,false,0
Block 1: Binocular_Standard,162,0.03,right,right,0.6748682000015833,correct,1
Block 1: Binocular_Standard,163,-0.03,left,left,0.37523719999990135,correct,1
Block 1: Binocular_Standard,164,0.019999999999999997,right,right,0.5851181000016368,correct,1
Block 1: Binocular_Standard,165,-0.019999999999999997,left,left,0.416028899999219,correct,1
Block 1: Binocular_Standard,166,0.009999999999999997,left,right,0.46078160000070056,false,0
Block 1: Binocular_Standard,167,-0.019999999999999997,left,left,0.42734960000052524,correct,1
Block 1: Binocular_Standard,168,0.019999999999999997,left,right,0.518490099999326,false,0
Block 1: Binocular_Standard,169,0.03,left,right,0.5123042000013811,false,0
Block 2: Binocular_Crowded,0,-0.15,left,left,1.2286507000007987,correct,1
Block 2: Binocular_Crowded,1,0.15,left,right,0.6216491000013775,false,0
Block 2: Binocular_Crowded,2,0.16,right,right,0.34032769999976153,correct,1
Block 2: Binocular_Crowded,3,-0.16,right,left,0.5371295000004466,false,0
Block 2: Binocular_Crowded,4,-0.17,left,left,0.2681828000004316,correct,1
Block 2: Binocular_Crowded,5,-0.17,left,left,0.4050941999994393,correct,1
Block 2: Binocular_Crowded,6,0.16,left,right,0.2018884999997681,false,0
Block 2: Binocular_Crowded,7,-0.17,left,left,0.38481060000049183,correct,1
Block 2: Binocular_Crowded,8,0.17,left,right,0.4684032000004663,false,0
Block 2: Binocular_Crowded,9,0.18000000000000002,right,right,0.27305079999860027,correct,1
Block 2: Binocular_Crowded,10,-0.18000000000000002,right,left,0.24274590000095486,false,0
Block 2: Binocular_Crowded,11,0.19000000000000003,right,right,0.1364811000003101,correct,1
Block 2: Binocular_Crowded,12,-0.19000000000000003,right,left,0.318804699998509,false,0
Block 2: Binocular_Crowded,13,-0.20000000000000004,left,left,0.2737416999989364,correct,1
Block 2: Binocular_Crowded,14,-0.20000000000000004,right,left,0.513922600001024,false,0
Block 2: Binocular_Crowded,15,0.21000000000000005,left,right,0.3849544999993668,false,0
Block 2: Binocular_Crowded,16,-0.22000000000000006,left,left,0.39346889999978885,correct,1
Block 2: Binocular_Crowded,17,-0.22000000000000006,left,left,0.39425170000140497,correct,1
Block 2: Binocular_Crowded,18,0.21000000000000005,right,right,0.5995374000012816,correct,1
Block 2: Binocular_Crowded,19,-0.21000000000000005,left,left,0.3512516999999207,correct,1
Block 2: Binocular_Crowded,20,-0.20000000000000004,left,left,0.29915450000044075,correct,1
Block 2: Binocular_Crowded,21,-0.20000000000000004,left,left,0.35149339999952645,correct,1
Block 2: Binocular_Crowded,22,0.19000000000000003,right,right,0.22270129999924393,correct,1
Block 2: Binocular_Crowded,23,0.19000000000000003,right,right,0.11436390000017127,correct,1
Block 2: Binocular_Crowded,24,-0.18000000000000002,right,left,0.15771889999996347,false,0
Block 2: Binocular_Crowded,25,-0.19000000000000003,right,left,0.36417729999993753,false,0
Block 2: Binocular_Crowded,26,-0.20000000000000004,left,left,0.2115481999990152,correct,1
Block 2: Binocular_Crowded,27,0.20000000000000004,left,right,0.32087479999972857,false,0
Block 2: Binocular_Crowded,28,0.21000000000000005,left,right,0.08227129999977478,false,0
Block 2: Binocular_Crowded,29,-0.22000000000000006,left,left,0.49184750000131316,correct,1
Block 2: Binocular_Crowded,30,-0.22000000000000006,right,left,0.13560700000016368,false,0
Block 2: Binocular_Crowded,31,0.23000000000000007,left,right,0.12428409999847645,false,0
Block 2: Binocular_Crowded,32,-0.24000000000000007,left,left,0.47044409999944037,correct,1
Block 2: Binocular_Crowded,33,0.24000000000000007,left,right,0.11482079999950656,false,0
Block 2: Binocular_Crowded,34,0.25,right,right,0.1367338000000018,correct,1
Block 2: Binocular_Crowded,35,0.25,left,right,0.2558109000001423,false,0
Block 2: Binocular_Crowded,36,-0.25,right,left,0.3411986999999499,false,0
Block 2: Binocular_Crowded,37,-0.25,left,left,0.2222146000003704,correct,1
Block 2: Binocular_Crowded,38,-0.25,left,left,0.22237150000000838,correct,1
Block 2: Binocular_Crowded,39,-0.24,left,left,0.3202381000010064,correct,1
Block 2: Binocular_Crowded,40,-0.24,right,left,0.16786649999994552,false,0
Block 2: Binocular_Crowded,41,0.25,left,right,0.12623870000061288,false,0
Block 2: Binocular_Crowded,42,-0.25,right,left,0.3532422999996925,false,0
Block 2: Binocular_Crowded,43,0.25,left,right,0.3214036000008491,false,0
Block 2: Binocular_Crowded,44,0.25,left,right,0.32996430000093824,false,0
Block 2: Binocular_Crowded,45,-0.25,left,left,0.41413769999962824,correct,1
Block 2: Binocular_Crowded,46,0.25,right,right,0.3084910999987187,correct,1
Block 2: Binocular_Crowded,47,-0.24,left,left,0.4589703000001464,correct,1
Block 2: Binocular_Crowded,48,0.24,right,right,0.35033130000010715,correct,1
Block 2: Binocular_Crowded,49,0.22999999999999998,right,right,0.12763989999984915,correct,1
Block 2: Binocular_Crowded,50,-0.22999999999999998,right,left,0.15739170000051672,false,0
Block 2: Binocular_Crowded,51,0.24,left,right,0.3884548999994877,false,0
Block 2: Binocular_Crowded,52,0.25,right,right,0.3208334000009927,correct,1
Block 2: Binocular_Crowded,53,0.25,right,right,0.12843120000070485,correct,1
Block 2: Binocular_Crowded,54,0.24,right,right,0.47781400000167196,correct,1
Block 2: Binocular_Crowded,55,0.24,right,right,0.1056416999999783,correct,1
Block 2: Binocular_Crowded,56,0.22999999999999998,left,right,0.1154965000005177,false,0
Block 2: Binocular_Crowded,57,0.24,right,right,0.42969450000055076,correct,1
Block 2: Binocular_Crowded,58,0.24,right,right,0.40779250000014144,correct,1
Block 2: Binocular_Crowded,59,-0.22999999999999998,right,left,0.18704989999969257,false,0
Block 2: Binocular_Crowded,60,-0.24,left,left,0.2875789999998233,correct,1
Block 2: Binocular_Crowded,61,0.24,left,right,0.2886099000006652,false,0
Block 2: Binocular_Crowded,62,0.25,right,right,0.18103850000079547,correct,1
Block 2: Binocular_Crowded,63,-0.25,left,left,0.14909439999973984,correct,1
Block 2: Binocular_Crowded,64,-0.24,left,left,0.14652290000049106,correct,1
Block 2: Binocular_Crowded,65,0.24,left,right,0.1571114000016678,false,0
Block 2: Binocular_Crowded,66,-0.25,right,left,0.12598830000024464,false,0
Block 2: Binocular_Crowded,67,-0.25,left,left,0.10621779999928549,correct,1
Block 2: Binocular_Crowded,68,0.25,left,right,0.13595619999978226,false,0
Block 2: Binocular_Crowded,69,-0.25,right,left,0.15688439999939874,false,0
Block 2: Binocular_Crowded,70,0.25,left,right,0.14695969999957015,false,0
Block 2: Binocular_Crowded,71,0.25,left,right,0.12872989999959827,false,0
Block 2: Binocular_Crowded,72,0.25,right,right,0.07170749999932013,correct,1
Block 2: Binocular_Crowded,73,-0.25,right,left,0.10341820000030566,false,0
Block 2: Binocular_Crowded,74,-0.25,right,left,0.0929478999987623,false,0
Block 2: Binocular_Crowded,75,0.25,left,right,0.47038529999917955,false,0
