label,trials,offset,keys,direction,response_time,accuracy,response_numeric
Block 1: Binocular_Crowded,0,0.206,right,right,0.6599928979999277,correct,1
Block 1: Binocular_Crowded,1,-0.22,left,left,0.3441917220002324,correct,1
Block 1: Binocular_Crowded,2,0.03,left,right,0.43524902299986934,false,0
Block 1: Binocular_Crowded,3,-0.03,left,left,0.6077270169998883,correct,1
Block 1: Binocular_Crowded,4,-0.11,left,left,0.44523318199981077,correct,1
Block 1: Binocular_Crowded,5,0.16,right,right,0.2836390859997664,correct,1
Block 1: Binocular_Crowded,6,-0.22,left,left,0.2937840590002452,correct,1
Block 1: Binocular_Crowded,7,-0.17,left,left,0.32373623200010115,correct,1
Block 1: Binocular_Crowded,8,-0.206,left,left,0.283111555999767,correct,1
Block 1: Binocular_Crowded,9,0.17,right,right,0.24338092599964511,correct,1
Block 1: Binocular_Crowded,10,0.22,right,right,0.3338303390000874,correct,1
Block 1: Binocular_Crowded,11,-0.19,left,left,0.25248928899964085,correct,1
Block 1: Binocular_Crowded,12,0.17,right,right,0.26307812999993985,correct,1
Block 1: Binocular_Crowded,13,0.03,right,right,0.3645708509998258,correct,1
Block 1: Binocular_Crowded,14,0.206,right,right,0.2529296580000846,correct,1
Block 1: Binocular_Crowded,15,0.12,right,right,0.23264918900031262,correct,1
Block 1: Binocular_Crowded,16,0.02,right,right,0.5878002989998095,correct,1
Block 1: Binocular_Crowded,17,0.08,left,right,0.3450906550001491,false,0
Block 1: Binocular_Crowded,18,0.043,right,right,0.3945808869998473,correct,1
Block 1: Binocular_Crowded,19,0.04,right,right,0.36447687899999437,correct,1
Block 1: Binocular_Crowded,20,-0.04,left,left,0.6989471649999359,correct,1
Block 1: Binocular_Crowded,21,0.2,right,right,0.2123402460001671,correct,1
Block 1: Binocular_Crowded,22,-0.09,left,left,0.2322674540000662,correct,1
Block 1: Binocular_Crowded,23,0.15,right,right,0.18195536899975195,correct,1
Block 1: Binocular_Crowded,24,-0.15,left,left,0.23278552000010677,correct,1
Block 1: Binocular_Crowded,25,0.02,right,right,0.37437318100000994,correct,1
Block 1: Binocular_Crowded,26,0.08,right,right,0.37449043100014023,correct,1
Block 1: Binocular_Crowded,27,-0.12,left,left,0.23256134800021755,correct,1
Block 1: Binocular_Crowded,28,-0.12,left,left,0.42477646699990146,correct,1
Block 1: Binocular_Crowded,29,0.13,right,right,0.23315173099990716,correct,1
Block 1: Binocular_Crowded,30,0.2,right,right,0.2732257729999219,correct,1
Block 1: Binocular_Crowded,31,0.09,right,right,0.3133702849995643,correct,1
Block 1: Binocular_Crowded,32,-0.01,left,left,0.5975063259998024,correct,1
Block 1: Binocular_Crowded,33,0.043,left,right,0.34407660399983797,false,0
Block 1: Binocular_Crowded,34,-0.16,left,left,0.4451764620002905,correct,1
Block 1: Binocular_Crowded,35,0.14,right,right,0.18195143799994185,correct,1
Block 1: Binocular_Crowded,36,-0.04,left,left,0.33359231000031286,correct,1
Block 1: Binocular_Crowded,37,0.21,right,right,0.19219532400029493,correct,1
Block 1: Binocular_Crowded,38,0.131,right,right,0.5064539149998382,correct,1
Block 1: Binocular_Crowded,39,0.11,right,right,0.4262017979999655,correct,1
Block 1: Binocular_Crowded,40,-0.21,left,left,0.21216024599971206,correct,1
Block 1: Binocular_Crowded,41,0.07,right,right,0.21253852499967252,correct,1
Block 1: Binocular_Crowded,42,0.18,right,right,0.22234069200021622,correct,1
Block 1: Binocular_Crowded,43,0.06,right,right,0.3952140619999227,correct,1
Block 1: Binocular_Crowded,44,0.15,right,right,0.333761068000058,correct,1
Block 1: Binocular_Crowded,45,-0.15,left,left,0.22206148400027814,correct,1
Block 1: Binocular_Crowded,46,0.1,right,right,0.38422755999999936,correct,1
Block 1: Binocular_Crowded,47,-0.043,left,left,0.30323939999971117,correct,1
Block 1: Binocular_Crowded,48,0.18,right,right,0.20227146900015214,correct,1
Block 1: Binocular_Crowded,49,0.13,right,right,0.20184130699999514,correct,1
Block 1: Binocular_Crowded,50,-0.206,left,left,0.22251768200021615,correct,1
Block 1: Binocular_Crowded,51,-0.03,left,left,0.26336882099985814,correct,1
Block 1: Binocular_Crowded,52,0.12,right,right,0.24265663400001358,correct,1
Block 1: Binocular_Crowded,53,-0.131,left,left,0.27317544900006396,correct,1
Block 1: Binocular_Crowded,54,-0.01,right,left,0.18206911500010392,false,0
Block 1: Binocular_Crowded,55,0.21,right,right,0.23282930499999566,correct,1
Block 1: Binocular_Crowded,56,-0.07,left,left,0.2228882459999113,correct,1
Block 1: Binocular_Crowded,57,0.035,right,right,0.252674933000435,correct,1
Block 1: Binocular_Crowded,58,-0.14,left,left,0.2526399130001664,correct,1
Block 1: Binocular_Crowded,59,-0.08,left,left,0.31340685900022436,correct,1
Block 1: Binocular_Crowded,60,0.1,right,right,0.18194025999991936,correct,1
Block 1: Binocular_Crowded,61,-0.21,left,left,0.22243658399975175,correct,1
Block 1: Binocular_Crowded,62,-0.02,left,left,0.31329868099965097,correct,1
Block 1: Binocular_Crowded,63,0.23,right,right,0.2021979010000905,correct,1
Block 1: Binocular_Crowded,64,0.19,right,right,0.3539234429999851,correct,1
Block 1: Binocular_Crowded,65,-0.11,left,left,0.18174950699994952,correct,1
Block 1: Binocular_Crowded,66,-0.08,left,left,0.2527440970002317,correct,1
Block 1: Binocular_Crowded,67,-0.18,left,left,0.26271074499982205,correct,1
Block 1: Binocular_Crowded,68,-0.2,left,left,0.1719148369998038,correct,1
Block 1: Binocular_Crowded,69,-0.05,left,left,0.2727427119998538,correct,1
Block 1: Binocular_Crowded,70,-0.06,left,left,0.44577303000005486,correct,1
Block 1: Binocular_Crowded,71,0.07,right,right,0.5569120749996728,correct,1
Block 1: Binocular_Crowded,72,0.05,left,right,0.739365891000034,false,0
Block 1: Binocular_Crowded,73,0.11,right,right,0.11108012199974837,correct,1
Block 1: Binocular_Crowded,74,-0.035,left,left,0.3036407329996109,correct,1
Block 1: Binocular_Crowded,75,-0.06,left,left,0.3348621549998825,correct,1
Block 1: Binocular_Crowded,76,0.04,right,right,0.4767440809996515,correct,1
Block 1: Binocular_Crowded,77,-0.14,left,left,0.23232575699967128,correct,1
Block 1: Binocular_Crowded,78,0.131,right,right,0.4252886799999942,correct,1
